-- BNLJ con 10 paginas para R, 3 paginas para S y 2 bloques de memoria.
REQUEST([R, 0])
REQUEST([R, 1])
REQUEST([S, 0])
RELEASE([S, 0])
REQUEST([S, 1])
RELEASE([S, 1])
REQUEST([S, 2])
RELEASE([S, 2])
RELEASE([R, 0])
RELEASE([R, 1])
REQUEST([R, 2])
REQUEST([R, 3])
REQUEST([S, 0])
RELEASE([S, 0])
REQUEST([S, 1])
RELEASE([S, 1])
REQUEST([S, 2])
RELEASE([S, 2])
RELEASE([R, 2])
RELEASE([R, 3])
REQUEST([R, 4])
REQUEST([R, 5])
REQUEST([S, 0])
RELEASE([S, 0])
REQUEST([S, 1])
RELEASE([S, 1])
REQUEST([S, 2])
RELEASE([S, 2])
RELEASE([R, 4])
RELEASE([R, 5])
REQUEST([R, 6])
REQUEST([R, 7])
REQUEST([S, 0])
RELEASE([S, 0])
REQUEST([S, 1])
RELEASE([S, 1])
REQUEST([S, 2])
RELEASE([S, 2])
RELEASE([R, 6])
RELEASE([R, 7])
REQUEST([R, 8])
REQUEST([R, 9])
REQUEST([S, 0])
RELEASE([S, 0])
REQUEST([S, 1])
RELEASE([S, 1])
REQUEST([S, 2])
RELEASE([S, 2])
RELEASE([R, 8])
RELEASE([R, 9])
